caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume
sub-via442,CFIN,4626,[4626],[3462.04549641],3462.0454964130286,False,True,True,True,1239.8340313333656,1239.834031333362,5140,[5140],[3797.33371458],3797.333714577888,True,False,True,True,-1.0,-1.0
sub-via481,CFIN,4076,[4076],[3037.71130531],3037.711305311723,False,True,True,True,1086.5491579020618,1086.5491579020654,3976,[3976],[3004.92266486],3004.9226648638555,False,True,True,True,1076.32779809766,1076.327798097664
sub-via490,CFIN,4894,[4894],[3596.74111802],3596.7411180246913,False,True,True,True,1313.1262937109705,1313.126293710974,4796,[4796],[3618.29742797],3618.297427969374,False,True,True,True,1312.162606127044,1312.1626061270422
sub-via296,CFIN,4568,[4568],[3365.09893639],3365.098936391047,False,True,True,True,1221.841440365457,1221.8414403654533,4170,[4170],[3065.98515906],3065.9851590627754,False,True,True,True,1109.6750261105046,1109.6750261105044
sub-via325,CFIN,4964,[4964],[3709.90809869],3709.9080986911245,False,True,True,True,1378.8737207714667,1378.8737207714657,4592,[4592],[3497.93125816],3497.931258158321,False,True,True,True,1272.5709398593635,1272.57093985936
sub-via393,CFIN,4656,[4656],[3482.00806523],3482.0080652272322,False,True,True,True,1249.6306384187174,1249.6306384187192,4650,[4650],[3552.66934242],3552.6693424228188,False,True,True,True,1317.0690536688448,1317.0690536688453
sub-via450,CFIN,5062,[5062],[3782.681394],3782.6813939952935,False,True,True,True,1357.0781573358345,1357.0781573358345,4674,[4674],[3482.85648623],3482.856486226493,False,True,True,True,1264.0934726181417,1264.0934726181422
sub-via488,CFIN,3686,[3686],[2821.46258835],2821.462588349391,False,True,True,True,996.2632043354515,996.2632043354515,3970,[3970],[3014.19919331],3014.1991933141444,True,False,True,True,-1.0,-1.0
sub-via160,CFIN,4426,[4426],[3284.69629738],3284.696297382412,False,True,True,True,1210.1574752706256,1210.1574752706283,4656,[4656],[3490.90555094],3490.9055509436594,False,True,True,True,1285.2096858930404,1285.2096858930395
sub-via317,CFIN,4948,[4948],[3754.5273551],3754.5273551014166,False,True,True,True,1360.2675401274828,1360.2675401274846,4240,[4240],[3242.69697251],3242.6969725061044,True,False,True,True,-1.0,-1.0
sub-via085,CFIN,3688,[3688],[2743.47043798],2743.470437975973,False,True,True,True,1000.2177608504198,1000.2177608504171,3658,[3658],[2760.47495673],2760.474956734553,False,True,True,True,1018.3822186377092,1018.3822186377101
sub-via254,CFIN,5062,[5062],[3920.58625665],3920.586256654384,False,True,True,True,1412.8438121287945,1412.843812128791,4998,[4998],[3812.53094509],3812.530945093021,False,True,True,True,1353.2806225526815,1353.2806225526817
sub-via054,CFIN,4092,[4092],[3082.64100667],3082.6410066679578,False,True,True,True,1112.9911847562016,1112.9911847562075,4144,[4144],[3113.30096108],3113.3009610798867,False,True,True,True,1141.1333668108982,1141.1333668108996
sub-via298,CFIN,4958,[4958],[3727.66688256],3727.6668825576885,False,True,True,True,1364.158213681446,1364.1582136814495,5746,[5746],[4364.27117243],4364.27117243262,False,True,True,True,1595.500414768545,1595.5004147685368
sub-via328,CFIN,4540,[4540],[3336.50812023],3336.508120234971,False,True,True,True,1256.2826461667053,1256.2826461667162,4506,[4506],[3300.33631182],3300.3363118157245,False,True,True,True,1235.6921327465811,1235.692132746582
sub-via362,CFIN,3696,[3696],[2766.70758319],2766.707583191863,False,True,True,True,998.1036804289852,998.1036804289797,3868,[3868],[2892.54151195],2892.541511951906,False,True,True,True,1043.9760595861599,1043.9760595861594
sub-via399,CFIN,5532,[5532],[4187.03200974],4187.032009735124,False,True,True,True,1544.4142626870434,1544.4142626870416,5076,[5076],[3846.56896769],3846.568967688869,False,True,True,True,1392.508218088462,1392.508218088462
sub-via423,CFIN,5594,[5594],[4205.54275654],4205.542756536848,False,True,True,True,1522.215204356257,1522.215204356257,4994,[4994],[3644.64033794],3644.640337943122,False,True,True,True,1341.5139566878615,1341.5139566878624
sub-via209,CFIN,4414,[4414],[3308.77192758],3308.7719275759614,False,True,True,True,1192.6937101238664,1192.6937101238746,4716,[4716],[3576.80778112],3576.807781118695,False,True,True,True,1294.9623795901462,1294.9623795901425
sub-via224,CFIN,4958,[4958],[3666.49363012],3666.493630116991,False,True,True,True,1308.7136858453996,1308.7136858454114,4116,[4116],[3149.09959577],3149.0995957669747,False,True,True,True,1127.1576442472456,1127.1576442472478
sub-via275,CFIN,5052,[5052],[3815.14510368],3815.1451036845106,True,False,True,True,-1.0,-1.0,4986,[4986],[3677.0697899],3677.0697899049137,False,True,True,True,1341.7715449810753,1341.7715449810746
sub-via309,CFIN,4446,[4446],[3284.41347868],3284.4134786772124,False,True,True,True,1210.3573392622293,1210.3573392622293,4374,[4374],[3281.91608929],3281.916089285978,False,True,True,True,1217.777624417372,1217.7776244173697
sub-via228,CFIN,4860,[4860],[3573.58553956],3573.5855395600506,False,True,True,True,1290.6127935217164,1290.6127935217182,3856,[3856],[2985.52410957],2985.5241095718266,False,True,True,True,1084.745260876226,1084.745260876226
sub-via279,CFIN,4370,[4370],[3176.31552065],3176.31552064688,False,True,True,True,1147.747773963746,1147.7477739637443,4694,[4694],[3546.08839144],3546.0883914436,False,True,True,True,1326.2229745203122,1326.2229745203094
sub-via311,CFIN,2938,[2938],[2173.34470772],2173.3447077196347,False,True,True,True,781.4734612448519,781.473461244851,4866,[4866],[3275.25557807],3275.2555780741154,True,False,True,True,-1.0,-1.0
sub-via455,CFIN,4496,[4496],[3343.12150512],3343.1215051216764,False,True,True,True,1204.0290490924135,1204.0290490924162,4304,[4304],[3269.99749708],3269.9974970789444,False,True,True,True,1203.0152913003894,1203.0152913003894
sub-via340,CFIN,5350,[5350],[4002.00701698],4002.0070169761952,False,True,True,True,1405.1701253601805,1405.1701253601786,4410,[4410],[3269.8280084],3269.8280084046382,False,True,True,True,1172.2181386155871,1172.2181386155844
sub-via380,CFIN,4522,[4522],[3350.39316996],3350.3931699626146,False,True,True,True,1225.0478547948287,1225.0478547948278,4410,[4410],[3315.61420941],3315.6142094063293,False,True,True,True,1228.8280570844327,1228.8280570844302
sub-via440,CFIN,4862,[4862],[3624.16339518],3624.1633951755102,False,True,True,True,1312.3813945027096,1312.3813945027096,4728,[4728],[3511.78042756],3511.7804275595827,True,False,True,True,-1.0,-1.0
sub-via467,CFIN,5232,[5232],[3904.44025953],3904.440259527737,True,False,True,True,-1.0,-1.0,4722,[4722],[3534.37858972],3534.378589721508,False,True,True,True,1235.2646058218043,1235.264605821804
sub-via522,CFIN,4854,[4854],[3638.21307511],3638.2130751144955,False,True,True,True,1352.6503381486937,1352.6503381486955,4380,[4380],[3291.65827948],3291.65827947617,False,True,True,True,1240.7679708270466,1240.7679708270534
sub-via201,CFIN,5528,[5528],[4230.93334785],4230.933347847872,False,True,True,True,1508.2788842852965,1508.278884285306,5382,[5382],[4144.71792777],4144.717927765234,False,True,True,True,1520.4111137874297,1520.411113787432
