caseid,centre,lCS_junctions,rCS_junctions
sub-via303,CFIN,"{1: 4, 3: 2}",{5: 2}
sub-via361,CFIN,"{3: 2, 8: 2, 9: 2}","{4: 2, 5: 3, 6: 2, 7: 2}"
sub-via489,CFIN,"{2: 3, 3: 3}","{1: 2, 3: 3, 5: 3}"
sub-via294,CFIN,"{1: 2, 2: 5, 3: 5}",{3: 2}
sub-via438,CFIN,"{1: 3, 3: 3, 5: 2}","{2: 2, 3: 2}"
sub-via452,CFIN,{5: 5},"{1: 2, 5: 5}"
sub-via358,CFIN,"{1: 6, 2: 5, 3: 2, 5: 19, 7: 2}","{3: 2, 7: 2, 8: 2}"
sub-via405,DRCMR,"{1: 2, 3: 5, 5: 6}","{1: 2, 6: 4}"
sub-via407,DRCMR,"{1: 2, 5: 3}",{}
sub-via078,DRCMR,"{1: 2, 3: 2}",{1: 7}
sub-via448,DRCMR,"{2: 3, 3: 2, 4: 3, 5: 5, 7: 2}",{2: 2}
sub-via462,DRCMR,"{1: 4, 6: 4, 7: 7, 9: 7}","{4: 2, 5: 2, 7: 5}"
sub-via449,DRCMR,{2: 3},"{1: 2, 4: 3, 6: 9, 7: 2}"
sub-via476,DRCMR,"{1: 5, 3: 5, 5: 2, 8: 2}",{4: 4}
sub-via471,DRCMR,"{1: 5, 4: 5, 6: 2}",{4: 3}
sub-via282,DRCMR,"{5: 4, 6: 4, 8: 6, 9: 4}","{6: 4, 7: 2, 8: 2}"
sub-via499,DRCMR,"{3: 2, 4: 4, 7: 2, 9: 2}","{6: 4, 8: 2, 9: 3, 10: 4}"
sub-via387,DRCMR,"{2: 3, 4: 2, 5: 3}","{3: 2, 6: 3, 7: 5}"
sub-via044,DRCMR,"{1: 3, 3: 3, 4: 3}","{1: 2, 2: 2}"
sub-via353,DRCMR,"{2: 5, 3: 3, 5: 2, 8: 5}",{4: 2}
sub-via402,DRCMR,{1: 2},"{3: 4, 5: 6}"
sub-via416,DRCMR,{1: 2},"{2: 3, 4: 2}"
sub-via004,DRCMR,"{1: 2, 2: 4}","{1: 3, 2: 2}"
sub-via064,DRCMR,"{1: 2, 5: 4, 7: 2, 8: 2, 13: 2, 15: 3, 16: 2}","{1: 3, 2: 2, 5: 5, 6: 2}"
sub-via097,DRCMR,{3: 3},{}
sub-via088,DRCMR,"{3: 4, 4: 2}",{3: 2}
sub-via400,DRCMR,"{1: 2, 5: 2, 6: 4}",{}
sub-via408,DRCMR,"{2: 3, 3: 3, 5: 2, 6: 5, 7: 3, 9: 2}","{1: 3, 2: 7, 3: 5, 4: 2}"
sub-via504,DRCMR,{3: 3},"{1: 5, 2: 5}"
sub-via070,DRCMR,"{1: 2, 3: 4, 4: 2}",{5: 3}
sub-via384,DRCMR,"{1: 2, 2: 7, 7: 6, 10: 2}","{1: 6, 2: 3, 4: 2, 5: 2}"
sub-via508,DRCMR,"{4: 2, 6: 3}","{3: 2, 4: 3}"
sub-via388,DRCMR,"{1: 4, 2: 2, 3: 2, 4: 3, 6: 2}","{2: 2, 4: 4}"
sub-via410,DRCMR,"{1: 4, 2: 2, 6: 6, 7: 2}","{1: 2, 3: 2, 7: 4}"
sub-via049,DRCMR,"{1: 3, 2: 2, 3: 4, 4: 2, 5: 2, 6: 2}","{1: 2, 2: 5, 4: 2, 5: 4, 6: 3}"
sub-via091,DRCMR,"{1: 2, 2: 3, 3: 3}",{1: 3}
sub-via411,DRCMR,"{2: 2, 3: 3, 4: 2, 5: 3, 6: 4, 7: 2}","{2: 4, 7: 2, 11: 3}"
sub-via385,DRCMR,{3: 2},"{1: 2, 2: 2, 4: 5, 6: 2}"
sub-via077,DRCMR,"{1: 3, 5: 3, 7: 3, 10: 2}",{2: 2}
sub-via039,DRCMR,"{1: 3, 2: 3}","{2: 2, 6: 2, 9: 6}"
sub-via083,DRCMR,"{1: 2, 2: 13}",{1: 2}
sub-via037,DRCMR,"{1: 4, 3: 2, 4: 2, 5: 3, 6: 2, 8: 2}","{1: 2, 2: 2, 3: 4}"
sub-via081,DRCMR,"{4: 4, 5: 2}",{}
sub-via134,DRCMR,"{1: 3, 5: 3, 6: 3, 7: 2, 8: 2, 9: 10}",{}
sub-via020,DRCMR,"{3: 2, 4: 2}","{1: 3, 3: 2}"
sub-via068,DRCMR,"{3: 5, 8: 5, 9: 2, 11: 5}","{4: 3, 5: 2, 6: 4}"
sub-via100,DRCMR,"{4: 2, 5: 3, 11: 2}","{2: 3, 3: 3, 7: 5}"
sub-via478,DRCMR,"{1: 3, 5: 2, 6: 2}","{1: 5, 5: 2, 6: 2, 7: 2, 8: 2, 9: 3}"
sub-via109,DRCMR,"{4: 2, 5: 2, 8: 3, 9: 2}","{2: 3, 3: 6, 4: 2}"
sub-via344,DRCMR,"{3: 5, 5: 5, 6: 2, 8: 2, 9: 2, 10: 2}","{3: 4, 4: 2, 5: 2, 8: 2}"
sub-via249,DRCMR,"{1: 4, 2: 2, 9: 2}","{1: 9, 3: 5, 5: 8, 7: 2}"
sub-via125,DRCMR,"{1: 2, 2: 3, 5: 2, 6: 3, 7: 2, 8: 7}",{}
sub-via131,DRCMR,"{1: 4, 2: 4, 3: 2}",{2: 2}
sub-via124,DRCMR,{},"{1: 2, 3: 10}"
sub-via350,DRCMR,"{1: 6, 8: 4}","{2: 4, 3: 3, 4: 2, 5: 5}"
sub-via186,DRCMR,{3: 3},"{2: 4, 4: 2}"
sub-via162,DRCMR,"{4: 2, 5: 2}","{1: 2, 3: 2, 7: 2, 11: 2, 12: 2}"
sub-via175,DRCMR,"{1: 2, 2: 5, 3: 2, 4: 4, 6: 2}","{4: 2, 6: 2}"
sub-via191,DRCMR,"{1: 3, 4: 2, 5: 3}",{}
sub-via005,DRCMR,"{3: 2, 5: 3, 6: 3, 7: 3, 8: 4}","{1: 2, 3: 6}"
sub-via065,DRCMR,"{2: 2, 9: 2}","{2: 2, 3: 2}"
sub-via061,DRCMR,"{2: 2, 5: 2}",{}
sub-via003,DRCMR,"{1: 10, 2: 2, 3: 2, 4: 2, 6: 2}","{1: 2, 5: 2, 6: 4, 7: 3}"
sub-via092,DRCMR,{3: 2},"{1: 2, 2: 2}"
sub-via123,DRCMR,"{6: 3, 7: 2, 8: 2}","{3: 3, 4: 3, 5: 3}"
sub-via102,DRCMR,"{1: 2, 2: 2, 3: 3}",{4: 2}
sub-via149,DRCMR,{2: 2},{}
sub-via245,DRCMR,"{2: 2, 7: 3}",{}
sub-via168,DRCMR,"{1: 2, 3: 3, 4: 6, 7: 4}","{3: 2, 4: 2, 5: 3}"
sub-via262,DRCMR,"{1: 3, 2: 3, 3: 5, 4: 7, 5: 6, 6: 6}","{1: 2, 4: 5, 5: 4, 8: 2}"
sub-via234,DRCMR,"{1: 5, 3: 2, 5: 10, 6: 3, 7: 3}","{1: 2, 3: 2}"
sub-via193,DRCMR,{2: 5},"{1: 3, 2: 2}"
sub-via401,DRCMR,{1: 2},{3: 2}
sub-via412,DRCMR,"{1: 7, 2: 2}",{2: 2}
